,Hope 4 Athletes Academy,Ringgold, GA,Division 1,http://division1.upsl.com/teams/hope-4-athletes-academy-117513,
,Houston Dynamo Academy,Houston, TX,Premier,https://premier.upsl.com/teams/houston-dynamo-academy-45787,
,Houston FC,Houston, TX,Premier,https://premier.upsl.com/teams/houston-fc-55204,
,Houston FC II,Houston, TX,Division 1,http://division1.upsl.com/teams/houston-fc-ii-86994,
,Houston reVision,Houston, TX,Premier,https://premier.upsl.com/teams/houston-revision-15396,
,Huracan Valley U17,CA,Academy Boys,http://academyboys.upsl.com/teams/huracan-valley-u17-200579,
,Icemen FC,Fairbanks, AK,Division 1,http://division1.upsl.com/teams/icemen-fc-132142,
,Icemen FC Women,Fairbanks, AK,Women,http://women.upsl.com/teams/icemen-fc-women-550197,
,Idaho Cutthroats FC,Boise, ID,Premier,https://premier.upsl.com/teams/idaho-cutthroats-fc-46738,
,Idaho Cutthroats FC,Boise, ID,Women,http://women.upsl.com/teams/idaho-cutthroats-fc-533289,
,Idaho Cutthroats FC II,Boise, ID,Division 1,http://division1.upsl.com/teams/idaho-cutthroats-fc-ii-513004,
,IMG Academy,BRADENTON, FL,Premier,https://premier.upsl.com/teams/img-academy-667266,
